Name,Platform,Release_year,Genre,Publisher,Rating
ESPN College Hoops 2K5,XB,2004,Sports,Sega,86
Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment,38
SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games,
Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,78
The Cat in the Hat,GBA,2005,Platform,Jack of All Games,
Diner Dash: Sizzle & Serve,DS,2007,Puzzle,Eidos Interactive,
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,78
NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment,51
Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,72
Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,70
NCAA Football 08,PS3,2007,Sports,Electronic Arts,77
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games,
Ice Age,GBA,2002,Action,Ubisoft,47
Sega Superstars Tennis,PS2,2008,Sports,Sega,70
Headhunter,PS2,2002,Action,Sega,74
FIFA 14,Wii,2013,Sports,Electronic Arts,
Yoshi Touch & Go,DS,2005,Platform,Nintendo,
Viking: Battle for Asgard,PS3,2008,Action,Sega,65
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,78
Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus,
Junior Classic Games,DS,2009,Misc,Avanquest,
Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts,54
ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,
Brunswick Pro Bowling,Wii,2007,Sports,505 Games,52
Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,
Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,
SD Gundam G Generation-F,PS,2000,Strategy,Namco Bandai Games,
Bratz: Rock Angelz,PS2,2005,Misc,THQ,60
FlatOut,PS2,2004,Racing,Empire Interactive,70
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom,
Battlefield 1,PC,2016,Shooter,Electronic Arts,88
SSX 3,GC,2003,Sports,Electronic Arts,92
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment,78
Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft,
NCAA Football 11,PS2,2010,Sports,Electronic Arts,
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,Action,Disney Interactive Studios,
LocoRoco,PSP,2006,Platform,Sony Computer Entertainment,83
Risk: Global Domination,PS2,2003,Strategy,Atari,60
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,84
Mobile Suit Gundam version 2.0,PS,1996,Action,Namco Bandai Games,
FIFA 17,X360,2016,Sports,Electronic Arts,
Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation,68
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,57
Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment,63
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive,
The Incredible Hulk,PS2,2008,Action,Sega,50
Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,49
Saints Row: The Third,PC,2011,Action,THQ,84
Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom,83
Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami Digital Entertainment,
MediEvil II,PS,1999,Action,Sony Computer Entertainment,
Hunter: The Reckoning,XB,2002,Action,Interplay,79
MX vs. ATV Untamed,PS2,2007,Racing,THQ,53
Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,
Phantasy Star Ø,DS,2008,Role-Playing,Sega,
Dawn of Discovery,PC,2009,Simulation,Ubisoft,82
Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto,
Tales of Hearts,PSV,2013,Role-Playing,Namco Bandai Games,
Get Fit with Mel B,PS3,2010,Sports,Black Bean Games,73
Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision,54
Pokemon Channel,GC,2003,Adventure,Nintendo,55
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus,
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment,
Iron Man 2,PSP,2010,Action,Sega,49
Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment,
Virtua Tennis 2009,PS3,2009,Sports,Sega,70
The Dog Island,Wii,2007,Adventure,Ubisoft,70
NCAA Final Four 2000,PS,1999,Sports,989 Sports,
Madagascar: Escape 2 Africa,PS2,2008,Action,Activision,56
Hangman,2600,N/A,Puzzle,Atari,
Need for Speed: Nitro,DS,2009,Racing,Electronic Arts,70
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,61
Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts,72
Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value,
Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft,
Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision,
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,81
Madden NFL 11,PSP,2010,Sports,Electronic Arts,
Gravitar,2600,1982,Action,Atari,
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment,78
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games,
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,75
LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ,
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,73
Just Dance 2014,PS3,2013,Misc,Ubisoft,77
Wii Sports Club,WiiU,2014,Sports,Nintendo,68
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts,67
Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ,
Puppy Palace,DS,2008,Simulation,Ubisoft,
Peppa Pig: The Game,Wii,2009,Misc,Pinnacle,
Skylanders Giants,WiiU,2012,Action,Activision,80
GRID 2,PS3,2013,Racing,Codemasters,82
Solaris,2600,1986,Shooter,Atari,
Resident Evil Zero,PS4,2016,Action,Capcom,
Super Dragon Ball Z,PS2,2006,Fighting,Atari,72
Scooby-Doo! and the Spooky Swamp,DS,2010,Action,Warner Bros. Interactive Entertainment,
Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft,
The Golden Compass,PSP,N/A,Action,Sega,28
Tobal 2,PS,1997,Fighting,SquareSoft,
Farming Simulator 2015,PS3,2015,Simulation,Koch Media,
NBA 2K10,Wii,2009,Sports,Take-Two Interactive,
Persona 5,PS4,2016,Role-Playing,Atlus,
Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,54
Tiger Woods PGA Tour 09,PS2,2008,Sports,Electronic Arts,
Ultimate Spider-Man,GC,2005,Action,Activision,76
NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios,76
Major League Baseball 2K6,X360,2006,Sports,Spike,66
Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft,
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,63
NBA 2K7,PS3,2006,Sports,Take-Two Interactive,80
Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment,
Petz: Catz 2,PS2,2006,Simulation,Ubisoft,
Just Dance 4,WiiU,2012,Misc,Ubisoft,66
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega,
"Monsters, Inc. Scream Arena",GC,2002,Platform,THQ,39
Reel Fishing III,PS2,2003,Sports,Natsume,
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,
Monster Jam: Path of Destruction,DS,2010,Racing,Activision,
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,86
Rampage: Total Destruction,PS2,2006,Action,Midway Games,51
High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,84
Trivial Pursuit,X360,2009,Misc,Electronic Arts,66
Super Formation Soccer 94,SNES,1994,Sports,Human Entertainment,
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios,55
Panzer Dragoon,SAT,1995,Shooter,Sega,
Spider-Man: Friend or Foe,PS2,2007,Action,Activision,62
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,
Rec Room Games,Wii,2009,Sports,Destineer,
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,77
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,70
Quake 4,X360,2005,Shooter,Activision,75
Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts,74
Skate,PS3,2007,Sports,Electronic Arts,85
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision,
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft,
Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment,
Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ,
Rage,PC,2011,Shooter,Bethesda Softworks,79
Dragonfire,2600,1981,Action,Imagic,
Custom Robo,GC,2004,Role-Playing,Nintendo,65
Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,65
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,84
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,83
DiRT 2,Wii,2009,Racing,Codemasters,51
Pac-Man World 2,GC,2002,Action,Nintendo,74
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games,
Tomb Raider: Legend,X360,2006,Action,Eidos Interactive,80
Rocket League,PS4,2016,Sports,505 Games,85
The BIGS,Wii,2007,Sports,Take-Two Interactive,66
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,Knowledge Adventure,
Destiny: The Taken King,PS3,2015,Shooter,Activision,
Skylanders: SuperChargers,PS3,2015,Action,Activision,
The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games,68
Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft,
Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,73
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix,
Dungeon Siege III,X360,2011,Role-Playing,Square Enix,72
Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft,
DiRT Rally,PS4,2016,Racing,Codemasters,85
NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,73
Super Robot Taisen EX,SNES,1994,Strategy,Banpresto,
FIFA Street 2,PS2,2006,Sports,Electronic Arts,59
Virtua Tennis 2009,Wii,2009,Sports,Sega,73
Overlord: Dark Legend,Wii,2009,Action,Codemasters,68
Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment,
The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games,56
Shin Megami Tensei II,SNES,1994,Role-Playing,Atlus,
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,52
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,62
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games,81
Skylanders: Trap Team,XOne,2014,Action,Activision,
Rune Factory: Frontier,Wii,2008,Role-Playing,Rising Star Games,79
Virtua Fighter 3tb,DC,1998,Fighting,Sega,
Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,
Mini Ninjas,Wii,2009,Action,Eidos Interactive,79
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,55
Mini-Yonku GB: Let's & Go!!,GB,1997,Strategy,ASCII Entertainment,
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,73
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega,
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,81
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,71
NCAA Football 07,PSP,2006,Sports,Electronic Arts,75
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,
NBA Live 2003,XB,N/A,Sports,Electronic Arts,82
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games,67
GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,60
Need for Speed: The Run,PC,2011,Action,Electronic Arts,69
Zero4 Champ RR,SNES,1994,Sports,Media Rings,
Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,48
Elite Beat Agents,DS,2006,Misc,Nintendo,87
Nonomura Byoin no Hitobito,SAT,1996,Adventure,Elf,
ESPN X Games Skateboarding,PS2,2001,Sports,Konami Digital Entertainment,58
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,81
NHL 15,PS3,2014,Sports,Electronic Arts,
Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,85
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory,
Dreamworks Madagascar Kartz,DS,2009,Racing,Activision,
Left 4 Dead 2,PC,2009,Shooter,Valve Software,89
Green Day: Rock Band,Wii,2010,Misc,MTV Games,76
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,
Super Fire ProWrestling Special,SNES,1994,Fighting,Human Entertainment,
Star Fox: Zero,WiiU,2016,Shooter,Nintendo,69
SAW,PS3,2009,Action,Konami Digital Entertainment,59
Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,68
Kamaitachi no Yoru 2,PS2,2002,Adventure,ChunSoft,
High Heat Major League Baseball 2004,PS2,2003,Sports,3DO,83
Robots,PS2,2005,Action,Vivendi Games,53
NARC,PS2,2005,Shooter,Midway Games,50
One Piece: Gigant Battle!,DS,2010,Fighting,Namco Bandai Games,
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games,73
My Horse & Me,DS,2007,Sports,Atari,
Bionic Commando,PS3,2009,Platform,Capcom,71
Monster Rancher 3,PS2,2001,Simulation,Tecmo Koei,77
The Incredibles: Rise of the Underminer,PS2,2005,Action,THQ,60
Sword Art Online: Lost Song,PSV,2015,Role-Playing,Namco Bandai Games,70
MechWarrior 2: 31st Century Combat,PS,1997,Simulation,Activision,
Zoo Tycoon (2013),XOne,2013,Simulation,Microsoft Game Studios,
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,72
Okage: Shadow King,PS2,2001,Role-Playing,Sony Computer Entertainment,70
Mobile Suit Z-Gundam,PS,1997,Action,Namco Bandai Games,
Cubix Robots for Everyone: Clash 'n' Bash,GBA,N/A,Action,Unknown,
BlazBlue: Calamity Trigger,X360,2009,Fighting,PQube,86
Kirby's Dream Land 3,SNES,1997,Platform,Nintendo,
Big Bass World Championship,PS,1997,Sports,Starfish,
NFL GameDay 2001,PS2,2000,Sports,Sony Computer Entertainment,51
NBA 2K6,XB,2005,Action,Take-Two Interactive,84
Saban's Power Rangers: Lightspeed Rescue,N64,2000,Action,THQ,
Tetrisphere,N64,1997,Puzzle,Nintendo,
Jurassic Park,NES,1993,Action,Ocean,
Mystical Ninja starring Goemon,N64,1997,Action,Konami Digital Entertainment,
Marvel Super Hero Squad,Wii,2009,Fighting,THQ,49
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios,63
World's Scariest Police Chases,PS,2001,Racing,Activision,54
Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,Activision,58
North American Hunting Extravaganza,Wii,2008,Sports,Zushi Games,
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision,
MechAssault 2: Lone Wolf,XB,2004,Simulation,Microsoft Game Studios,81
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,80
Hamster Club 3,GBA,2002,Simulation,Jorudan,
Breath of Fire II,SNES,1994,Role-Playing,Laguna,
LEGO Racers,PS,1999,Racing,LEGO Media,
Just Dance 2016,PS4,2015,Misc,Ubisoft,73
ESPN NFL Football,XB,2003,Sports,Sega,91
Naruto: Ultimate Ninja 3 (JP sales),PS2,2005,Fighting,Atari,
Rapala Pro Fishing,PS2,2004,Sports,Zoo Digital Publishing,59
ATV/Monster Truck Mayhem,DS,2007,Racing,"Destination Software, Inc",
J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,Sega,
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,76
Dai-2-Ji Super Robot Taisen Z Saisei-hen,PSP,2012,Strategy,Namco Bandai Games,
TMNT,Wii,2007,Action,Ubisoft,60
Fossil Fighters: Frontier,3DS,2014,Role-Playing,Nintendo,57
Disney's The Haunted Mansion,PS2,2003,Platform,Take-Two Interactive,
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,72
Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,
Ryu Ga Gotoku Kenzan!,PS3,2008,Adventure,Sega,
Super Robot Taisen A,GBA,2001,Strategy,Banpresto,
Watch Dogs 2,XOne,2016,Action,Ubisoft,83
Tiger Woods PGA Tour 09,PSP,2008,Sports,Electronic Arts,53
Boxer's Road,PS,1995,Fighting,New,
Frogs And Flies,2600,1981,Action,Mattel Interactive,
Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,77
Toriko: Gourmet Survival!,PSP,2011,Role-Playing,Namco Bandai Games,
South Park Rally,PS,1998,Racing,Acclaim Entertainment,
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,Konami Digital Entertainment,
Arctic Thunder,PS2,2001,Racing,Midway Games,45
NHL 2K10,PS2,2009,Sports,Take-Two Interactive,
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,Sega,
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,31
Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.,
Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,
Shrek,XB,2001,Platform,TDK Mediactive,49
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software,78
Thief (2014),PS3,2014,Action,Square Enix,
Blasto,PS,1998,Action,Sony Computer Entertainment,
Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,79
Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,
Backyard Baseball 2006,GBA,2005,Sports,Atari,
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,Zoo Digital Publishing,
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo,81
Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,
Nicktoons: Unite!,GC,2005,Adventure,THQ,
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,
Earth Defense Force 2025,PS3,2013,Shooter,D3Publisher,69
Middle-Earth: Shadow of Mordor,PC,2014,Action,Warner Bros. Interactive Entertainment,84
Suikoden V,PS2,2006,Role-Playing,Konami Digital Entertainment,76
Picross 2,GB,1996,Puzzle,Nintendo,
SOCOM: Tactical Strike,PSP,2007,Shooter,Sony Computer Entertainment,
Farming Simulator 2015,X360,2015,Simulation,Koch Media,
Tiger Woods PGA Tour 14,X360,2013,Sports,Electronic Arts,77
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,Namco Bandai Games,
U-Sing,Wii,2009,Misc,Mindscape,
Outlaw Golf 2,PS2,2004,Sports,Global Star,63
Momotarou Dentetsu 12,PS2,2003,Misc,Hudson Soft,
LocoRoco 2,PSP,2008,Platform,Sony Computer Entertainment,85
Football Manager Handheld 2010,PSP,2009,Sports,Sega,69
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,Activision,68
Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,63
Cabela's Dangerous Hunts,XB,2003,Sports,Zoo Digital Publishing,
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,
Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,
G-Force,PSP,2009,Action,Electronic Arts,
Worms: Open Warfare 2,DS,2007,Strategy,THQ,81
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Sports,Konami Digital Entertainment,
Dark Void,PS3,2010,Action,Capcom,59
Guitar Hero: Smash Hits,PS3,2009,Misc,Activision,73
Mega Man X3,SNES,1995,Action,Laguna,
Stunt Race FX,SNES,1993,Racing,Nintendo,
NHL 2K10,Wii,2009,Sports,Take-Two Interactive,79
Bloody Roar 3,PS2,2001,Fighting,Virgin Interactive,71
WWE Crush Hour,PS2,2003,Racing,THQ,56
Persona 2: Eternal Punishment,PS,2000,Role-Playing,Atlus,83
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,48
Assassin's Creed III,WiiU,2012,Action,Ubisoft,85
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,66
Star Wars: Flight of the Falcon,GBA,2003,Action,THQ,39
One Piece: Gigant Battle 2 Shin Sekai,DS,2011,Fighting,Namco Bandai Games,
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,67
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei,71
Metro: Last Light,X360,2013,Action,Deep Silver,80
Jikkyou Powerful Pro Yakyuu 2000,N64,2000,Sports,Konami Digital Entertainment,
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,Action,N/A,
Football Manager 2016,PC,2015,Simulation,Sega,81
Resident Evil: Dead Aim,PS2,2003,Action,Capcom,65
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,
Need for Speed Carbon,GC,2006,Racing,Electronic Arts,75
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,THQ,
FIFA Soccer 13,PSP,2012,Action,Electronic Arts,
The Fairly Odd Parents: Shadow Showdown,PS2,2004,Platform,THQ,
EA Sports MMA,X360,2010,Fighting,Electronic Arts,79
Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,THQ,
Xbox Music Mixer,XB,2003,Misc,Microsoft Game Studios,49
Defiance,PS3,2013,Shooter,Trion Worlds,59
Terminator Salvation,X360,2009,Shooter,Warner Bros. Interactive Entertainment,48
CSI: Deadly Intent - The Hidden Cases,DS,2009,Adventure,Ubisoft,
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,66
Destiny: The Taken King,X360,2015,Shooter,Activision,
Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,
Guitar Hero: Metallica,PS2,2009,Misc,Activision,
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,87
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,27
Tom Clancy's Rainbow Six: Lockdown,PS2,2005,Shooter,Ubisoft,70
From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,Namco Bandai Games,
MotoGP 08,X360,2008,Racing,Capcom,68
LEGO Marvel's Avengers,XOne,2016,Action,Warner Bros. Interactive Entertainment,71
The Tale of Despereaux,PS2,2008,Platform,Brash Entertainment,
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,85
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,69
Sniper Elite 3,XOne,2014,Shooter,505 Games,63
Hello Kitty Daily,DS,2008,Misc,Nobilis,
NFL Street,GC,2004,Sports,Electronic Arts,81
Karaoke Revolution,PS2,2003,Misc,Konami Digital Entertainment,83
Metal Arms: Glitch in the System,PS2,2003,Shooter,Vivendi Games,81
Tropico 4,X360,N/A,Strategy,Kalypso Media,77
Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Sports,Konami Digital Entertainment,
Rally Cross 2,PS,1998,Racing,989 Studios,
EverGrace,PS2,2000,Role-Playing,Ubisoft,59
Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,60
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,86
Street Fighter Alpha: Warriors' Dreams,SAT,1996,Fighting,Capcom,
Rugrats: Royal Ransom,PS2,2002,Platform,THQ,
MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,83
Over the Hedge,GC,2006,Platform,Activision,61
Tomb Raider (2013),PC,N/A,Action,Square Enix,86
Charlie and the Chocolate Factory,PS2,2005,Adventure,Global Star,35
TrackMania Turbo,PS4,2016,Action,Ubisoft,81
Kurushi Final: Mental Blocks,PS,1998,Puzzle,Sony Computer Entertainment,
Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts,85
Def Jam Icon,X360,2007,Action,Electronic Arts,69
SD Gundam G Generation World,PSP,2011,Strategy,Namco Bandai Games,
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,
High School Musical 3: Senior Year DANCE!,PS2,2008,Misc,Disney Interactive Studios,
Hannah Montana: The Movie,Wii,2009,Adventure,Disney Interactive Studios,
Dynasty Warriors 5 Empires,PS2,2006,Action,Tecmo Koei,62
Call of Duty: Ghosts,WiiU,2013,Shooter,Activision,69
Transformers: Dark of the Moon,PS3,2011,Action,Activision,57
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,98
WipEout 3,PS,1999,Racing,Psygnosis,89
UEFA Euro 2008 Austria-Switzerland,X360,2008,Sports,Electronic Arts,
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,
Classic NES Series: Ice Climber,GBA,2004,Platform,Nintendo,66
Pirates of the Caribbean: At World's End,DS,2007,Action,Disney Interactive Studios,66
WWE '12,Wii,2011,Fighting,THQ,74
WWE All Stars,X360,2011,Fighting,THQ,75
Mini Ninjas,PS3,2009,Action,Eidos Interactive,73
Tekken Tag Tournament 2,X360,2012,Fighting,Namco Bandai Games,83
Freeway,2600,1980,Action,Activision,
Driver 2 Advance,GBA,2002,Action,Atari,73
Monster Rancher 4,PS2,2003,Simulation,Tecmo Koei,77
Mini Ninjas,DS,2009,Action,Eidos Interactive,61
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,Disney Interactive Studios,65
Iron Storm,SAT,1995,Shooter,Sega,
Battalion Wars 2,Wii,2007,Strategy,Nintendo,75
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment,72
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,
Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive,
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment,75
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive,78
Supreme Commander 2,X360,2010,Strategy,Square Enix,75
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,65
Frostbite,2600,1983,Action,Activision,
Alien's Return,2600,1982,Action,ITT Family Games,
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo,
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ,
Racquet Sports,PS3,2010,Sports,Ubisoft,45
Company of Heroes 2,PC,2013,Strategy,THQ,80
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo,80
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment,
WWE Day of Reckoning 2,GC,2005,Fighting,THQ,76
